Pincode,Latitude,Longitude
226202,27.0059295,80.86545339999999
262724,28.1237526,81.0533854
262725,27.8245282,80.7436141
262726,28.0221647,80.92077370000001
262727,27.8094137,80.5216184
262728,27.8857227,80.9650023
262801,28.1713071,80.38813329999999
262802,28.0384381,80.47714719999999
365640,21.2428424,70.9309024
365645,21.367336,70.91901320000001
415640,17.8352309,73.4062342
415641,17.318434,73.3944466
415643,16.7802413,73.6653939
854332,26.3856861,87.4901086
456440,23.5337525,75.55096019999999
456441,23.6145154,75.667356
456443,23.4537409,75.6906241
515641,14.4396358,77.4931403
679564,10.6743397,75.9666439
680564,10.4107636,76.1493891
686564,9.6442061,76.6354952
695564,8.5753702,76.99310740000001
785640,26.9856312,94.6398693
194103,34.5292447,75.94632399999999
110001,28.6327426,77.2195969
121001,28.3899664,77.2979782
124001,28.9034473,76.5719414
126101,29.1176923,76.4331698
127021,28.7693181,76.1551866
383251,23.6898879,73.4415929
131001,28.9905081,76.9873477
206246,26.5928949,79.61652099999999
132001,29.6386837,77.0794705
855117,26.3843668,88.1876676
854340,26.4580517,86.96240859999999
123001,28.0318168,76.1088001
854117,25.4320175,87.7172616
854109,25.5773753,87.5544182
133001,30.377589,76.860565
852111,26.2850013,86.8671989
805123,24.9685043,85.55091639999999
691553,9.1060419,76.6788091
125001,29.049537,75.5742467
231221,24.2030939,82.9985343
851202,25.4485441,86.7114545
851205,25.5506151,86.51986509999999
203002,28.3518547,77.8195739
202282,28.0833613,78.2362225
110004,28.6141527,77.1959622
121004,28.2919383,77.355413
124022,28.8767484,76.4215988
126111,29.4823276,76.4331698
127026,28.5918445,76.097201
632510,13.08707,79.5266211
131023,28.9043194,77.1600201
246113,30.0331832,78.7589558
132024,29.7429761,76.7567368
855114,25.5734587,87.67783779999999
854337,25.6662001,87.55936129999999
123024,28.3840617,75.96954649999999
854114,25.6260125,87.29167129999999
854106,25.5348702,87.4901086
133006,30.3369789,76.90668289999999
852108,26.2534026,86.7718017
515123,14.1176235,77.4472495
685533,9.580895199999999,77.1139984
125006,29.110152,75.8185314
231218,24.158097,82.79402970000001
851134,25.4156008,86.0886366
847411,26.3135372,86.32753509999999
110005,28.6556793,77.1874601
121005,28.3700239,77.2692503
124102,28.6713694,76.6528225
126112,29.4102094,76.6181655
127027,28.8600923,76.2594981
632511,12.8352973,79.4816378
131024,29.08317,76.8836261
246121,29.9453863,78.4069732
132036,29.615757,76.8490328
855113,25.5758611,87.8353278
854336,26.3789972,87.1323139
123027,28.4075559,76.2178127
854113,25.3243492,87.6482474
854105,25.5118674,87.5296943
852107,25.8291896,86.8119917
285123,26.1704792,79.4253776
685532,9.501652499999999,77.03341790000002
125007,29.1235418,75.7051647
231217,24.2565536,83.0039075
851133,25.5481531,85.9611082
847410,26.2191867,86.32753509999999
134107,30.7417398,76.8836261
110006,28.6610779,77.2345881
121006,28.3733754,77.335314
124103,28.5877565,76.6181655
126113,29.3096168,76.5257007
127028,28.6695395,75.6440842
632512,12.8043862,79.27894069999999
131027,29.0600389,77.1139984
246123,30.1456476,79.0079949
132037,29.6170352,76.9758274
855108,26.1375624,87.8402405
854335,26.2718183,87.0824045
123028,28.2152749,76.1088001
854112,25.3024876,87.7664934
854104,25.520064,87.32149079999999
852106,25.7860974,86.4794359
225123,26.9625292,81.1912849
685531,9.57568,76.9758274
125011,29.2316435,75.6659016
231216,24.7199416,83.05761559999999
851132,25.5503738,86.0427626
847409,26.387829,86.4693235
134108,30.6923542,76.8562405
133101,30.2736618,76.9527836
110007,28.6785828,77.19158399999999
121007,28.3889884,77.3180836
124104,28.5969602,76.7105632
126114,29.2041673,76.3868797
127029,28.6943882,75.8766333
632513,12.9224615,79.391605
131028,28.86769869999999,77.1481919
246124,29.8616511,78.62285039999999
132039,29.5217315,76.5950555
855107,26.1912159,87.8746146
854334,26.0613026,87.1821709
123029,28.4097573,76.1745133
466554,22.8329647,77.7223162
854103,25.4888505,87.5692461
852105,26.3112514,86.72151749999999
175123,31.69464799999999,77.5160788
682553,10.8743612,72.2023262
125033,29.0643749,75.92309759999999
231215,24.7118865,82.8855961
851131,25.4815948,86.1242881
847408,26.1609687,86.357952
134109,30.7039849,76.9009191
133103,30.1934611,77.17152279999999
110009,28.7108654,77.20314929999999
121009,28.4870386,77.2922332
124106,28.5817556,76.4447397
126116,29.6756695,76.1088001
127031,28.8606871,76.1551866
246127,29.8120278,78.57744079999999
132041,29.8662899,77.0794705
855105,25.7166724,87.7566513
123034,28.2753857,76.247912
851218,25.3883605,86.4136687
854101,25.4184596,87.60876379999999
679553,10.8376005,76.047894
125038,29.1849219,76.2015572
231212,24.0656177,83.2291862
851129,25.30703,86.2361744
847405,26.1237647,86.28695069999999
134113,30.6786134,76.84614959999999
110010,28.5929297,77.1218197
121010,28.4666747,77.28936060000001
124107,28.7629253,76.6528225
126125,29.4625469,76.3521514
127032,28.94228499999999,76.0623979
632516,13.0325989,79.1717839
131039,29.0784242,77.067959
110008,28.6482162,77.1640718
852218,26.1594453,86.7919009
133104,30.323633,76.9988669
851217,25.4409867,86.3883506
678553,10.713284,76.7855866
125039,29.3118514,76.1088001
231211,24.9447939,82.34518899999999
851128,25.626882,85.92278840000002
847404,26.2357109,86.2818753
134114,30.7193224,76.857682
133201,30.2222932,77.0622028
110011,28.604077,77.2116108
121012,28.4207405,77.28936060000001
124108,28.4548686,76.6643728
126152,29.5294636,76.01598
127035,28.9731855,75.92309759999999
632517,12.9159732,79.233837
131101,29.1424931,77.0219019
121008,28.4349347,77.3180836
132054,29.8856172,77.1600201
855101,26.3543845,87.7369607
852217,25.7582715,86.8119917
125054,29.5659239,75.2128996
851216,25.3073992,86.7516942
122108,27.9394584,77.03341790000002
676553,10.9396777,76.0507949
125042,29.093728,76.2015572
231210,24.7733895,82.6915429
851127,25.5283593,86.1039189
847403,26.3507028,86.39847929999999
134116,30.6475006,76.9009191
133202,30.2444703,77.1139984
110012,28.6282145,77.1493904
121013,28.4868329,77.3351855
124109,28.4410263,76.5257007
854330,25.8900514,87.50990569999999
127040,28.8770077,75.8766333
632518,12.7200674,79.4366324
131102,29.1105776,76.9297354
124105,28.5270089,76.8144298
132101,29.2647223,76.9873477
387610,23.0378305,72.9696779
852216,25.8675746,86.4288534
125055,29.4305507,74.92087719999999
851215,25.5602597,86.4288534
122413,28.3043458,76.8836261
125044,29.0670836,75.841775
231209,24.6111354,83.0039075
851126,25.3890804,86.2056843
847402,26.2694115,86.4490926
134117,30.6666448,76.8533575
110013,28.5891197,77.2568426
124111,28.9759872,76.3868797
854329,26.1522862,87.6482474
127041,28.9874453,76.16678069999999
632519,12.9840876,79.233837
131103,28.8680369,77.0219019
126115,29.4581763,76.2015572
132102,29.20701549999999,77.03917539999999
387620,23.0072222,73.111356
133203,30.2516988,77.01614359999999
852215,26.4082946,86.8421125
206121,26.558635,79.3127543
211016,25.4164238,81.806039
193222,34.6788449,74.35874729999999
122414,28.2701202,76.76827750000001
203202,28.4136233,77.67651839999999
193221,34.3948912,74.1709702
208004,26.4418399,80.37143259999999
206120,26.6609238,79.27894069999999
211015,25.4404252,81.7882712
125047,29.3579842,75.6906241
231208,24.127938,83.03613759999999
851120,25.5465218,86.00960599999999
847401,26.3832332,86.28695069999999
134118,30.5430431,76.9297354
133204,30.42477209999999,77.2175223
110014,28.5792764,77.2584768
121015,41.0817102,121.1188846
124112,29.0121012,76.29425069999999
854328,26.3641103,87.2767544
127042,28.7253625,76.2826675
743251,23.1637722,88.8455037
131301,29.1001866,76.7105632
133005,30.366075,76.88650849999999
132103,29.4107176,77.0794705
387630,22.8891385,72.9814877
208005,26.4692427,80.30181069999999
206123,26.9243194,79.2225576
852214,26.1169465,87.01244349999999
208006,26.4480011,80.3115612
125058,29.45781809999999,75.2595731
854327,25.9609648,87.50990569999999
127043,28.7708381,75.737149
206124,26.6756017,79.1661407
131302,29.2128929,76.583499
110003,28.5916468,77.2317863
132104,29.3319733,77.09098089999999
387635,22.9698208,72.9283391
852213,25.5114195,86.8822445
205304,27.1065177,79.3240228
203129,28.2122609,77.99670429999999
194103,34.5292447,75.94632399999999
125060,29.56797109999999,75.1311874
505326,18.8316339,78.713608
110015,28.6589251,77.1457614
121101,28.3799037,77.4357739
124113,28.8058176,76.39845369999999
781028,26.1218063,91.8001488
770019,21.9757371,84.0484601
131408,28.9620217,76.8144298
332027,27.6581211,75.2829046
132114,29.5384407,76.9873477
847233,26.1184032,86.0835415
203002,28.3518547,77.8195739
194102,34.3983038,75.5742467
500010,17.5170626,78.5149691
852138,26.2140772,86.6006249
127308,28.5213393,75.96954649999999
205303,27.0208196,79.2676668
133205,30.187597,76.9988669
122503,28.3308988,76.8028933
421004,19.2125994,73.1615127
125049,29.2060108,75.96954649999999
231206,24.5801458,83.1005505
851117,25.4132493,86.1115583
425104,21.059286,75.35287790000001
206249,26.7659919,79.4366324
770011,22.0898416,83.9214896
794115,25.4259627,89.9626799
827009,23.7040683,86.16500239999999
845451,26.9456749,84.41726659999999
846006,26.1535794,85.8639766
828108,23.7173367,86.47438
828123,23.6814514,86.4642666
828116,23.7744236,86.3731536
845449,26.9505907,84.54318669999999
795015,25.4276446,94.12067479999999
781012,26.120509,91.66149469999999
781020,26.1893893,91.8269573
505327,18.8032852,78.9231667
110016,28.5471702,77.20027449999999
121102,28.1373319,77.4242972
124141,28.4882551,76.36951669999999
854326,25.8087847,87.5988876
